RENEWAL_WEEK,STAGE_NAME,ACCOUNT_ID,ACCOUNT_NAME,OPPORTUNITY_ID,CUSTOMER_SINCE_DATE,PRED_POINT,WEEKS_TO_RENEWAL,PARENT_MULTIYEAR,INDUSTRY,GEO,WEEKS_AS_CUSTOMER,PROJECTS_CREATED_LAST_12_WEEKS,AVG_WAU_LAST_12_WEEKS,WEEKS_WITH_PREDS_LAST_12_WEEKS,DEPLOYMENTS_CREATED_LAST_12_WEEKS,HEALTH_SUMMARY_FLAG,TOTAL_ACTIVE_ARR,TS_PROJECTS_CREATED_LAST_12_WEEKS
2021-06-28,7-Closed Won,0010Z000023MpGXQA0,Sanofi K.K.,0063q00000yaXthAAE,2020-07-01,2021-04-05,12,False,Manufacturing,JAPAN,40,57,0.916,3,0,Green,82500.0,0
2021-06-28,8-Closed Lost,0012A00002Cu2fbQAB,"JAPAN MEDICAL DATA CENTER CO., LTD.",0063q00000yb0wUAAQ,2018-07-01,2021-04-05,12,False,Other,JAPAN,145,2,0.166,0,0,Yellow,45000.0,0
2021-06-28,8-Closed Lost,0012A00002F3hdkQAB,Liverpool Victoria,0063q00000ycDtTAAU,2018-04-29,2021-04-05,12,False,Insurance,EMEA,154,0,1.166,6,0,Yellow,136541.7,0
2021-06-28,7-Closed Won,0013q00002DMnnCAAT,Onco Care Analytics,0063q00000ybHCKAA2,2020-06-29,2021-04-05,12,False,Consulting,AMER,40,43,1.25,7,0,Grey,15300.0,0
2021-06-28,7-Closed Won,0010Z000023k6TLQAY,TAKENAKA CORPORATION,0063q00000ybMCcAAM,2019-06-28,2021-04-05,12,False,Manufacturing,JAPAN,93,41,2.0,12,0,Green,33000.0,3
2021-06-28,7-Closed Won,0010Z0000269zfSQAQ,TrustPower,0060Z00000tE30ZQAS,2019-07-01,2021-04-05,12,True,Utilities,APAC,92,77,3.0,12,4,Yellow,139582.0,2
2021-06-28,7-Closed Won,001F000001rxsf8IAA,NTT DATA CORPORATION,0063q00000yawDKAAY,2017-02-06,2021-04-05,12,False,Technology,JAPAN,217,1,1.25,1,0,Green,109925.0,0
2021-06-28,7-Closed Won,0010Z000025kbFyQAI,TAITO CORPORATION,0063q00000yb5cKAAQ,2019-07-03,2021-04-05,12,False,Manufacturing,JAPAN,92,86,1.0,12,0,Green,58500.0,9
2021-06-28,7-Closed Won,0012A000029yHjpQAE,Toppan Inc.,0063q00000yb8NFAAY,2017-07-01,2021-04-05,12,False,Manufacturing,JAPAN,197,121,2.666,10,0,Green,101250.0,29
2021-06-28,7-Closed Won,0012A00002F2oGRQAZ,Reverb.com,0063q00000xrLmEAAU,2019-06-30,2021-04-05,12,True,Media and Communications,AMER,93,515,3.75,12,390,Green,83000.0,0
2021-06-28,7-Closed Won,0012A00002GR8J1QAL,"KOBE STEEL, LTD.",0063q00000yb8ONAAY,2019-02-25,2021-04-05,12,False,Other,JAPAN,110,36,2.416,1,0,Green,110061.25,0
2021-06-28,7-Closed Won,0012A00002GmcJVQAZ,"ONO PHARMACEUTICAL CO., LTD.",0063q00000yb5cJAAQ,2018-06-28,2021-04-05,12,False,Manufacturing,JAPAN,145,282,4.5,12,8,Green,203808.0,0
2021-06-28,7-Closed Won,0012A00002DHKTVQA5,University of Minnesota,0063q00000ybUJnAAM,2020-07-01,2021-04-05,12,False,Education,AMER,40,2,0.083,0,0,Yellow,12870.0,0
2021-07-05,7-Closed Won,0010Z00002CYSe7QAH,TOYOTA SYSTEMS CORPORATION,0063q00000ybXWIAA2,2020-07-07,2021-04-12,12,False,Manufacturing,JAPAN,40,107,1.833,6,0,Green,46860.0,0
2021-07-05,7-Closed Won,0010Z000029yhOzQAI,Honda Commtec inc.,0063q00000ybZMMAA2,2019-07-08,2021-04-12,12,False,Manufacturing,JAPAN,92,28,1.083,1,0,Green,46500.0,0
